Date,Open,High,Low,Close,Volume
2024-07-12,454.3250,456.3600,450.6450,453.5500,16207015
2024-07-11,462.9800,464.7800,451.5500,454.7000,23111175
2024-07-10,461.2200,466.4600,458.8550,466.2500,18196100
2024-07-09,467.0000,467.3300,458.0000,459.5400,17228507
2024-07-08,466.5500,467.7000,464.4600,466.2400,12962321
2024-07-05,459.6100,468.3500,458.9650,467.5600,16000290
2024-07-03,458.1900,461.0200,457.8800,460.7700,9932830
2024-07-02,453.2000,459.5900,453.1130,459.2800,13979779
2024-07-01,448.6600,457.3700,445.6600,456.7300,17662818
2024-06-28,453.0700,455.3800,446.4100,446.9500,28362271
2024-06-27,452.1750,456.1700,451.7700,452.8500,14806324
2024-06-26,449.0000,453.6000,448.1900,452.1600,16507030
2024-06-25,448.2500,451.4200,446.7500,450.9500,16747529
2024-06-24,449.8000,452.7500,446.4100,447.6700,15913719
2024-06-21,447.3800,450.5800,446.5100,449.7800,34486172
2024-06-20,446.3000,446.5300,441.2700,445.7000,19877378
2024-06-18,449.7050,450.1400,444.8900,446.3400,17112504
2024-06-17,442.5850,450.9400,440.7200,448.3700,20790030
2024-06-14,438.2750,443.1376,436.7210,442.5700,13581985
2024-06-13,440.8500,443.3900,439.3700,441.5800,15960565
2024-06-12,435.3200,443.4000,433.2500,441.0600,22366233
2024-06-11,425.4750,432.8200,425.2500,432.6800,14551101
2024-06-10,424.7000,428.0800,423.8900,427.8700,14003034
2024-06-07,426.2000,426.2800,423.0000,423.8500,13621650
2024-06-06,424.0100,425.3100,420.5800,424.5200,14861251
2024-06-05,417.8100,424.0800,416.3000,424.0100,16988038
2024-06-04,412.4300,416.4400,409.6750,416.0700,14348917
2024-06-03,415.5250,416.4300,408.9234,413.5200,17484675
2024-05-31,416.7500,416.7500,404.5100,415.1300,47995250
2024-05-30,424.3000,424.3000,414.2400,414.6700,28424847
2024-05-29,425.6900,430.9400,425.6900,429.1700,15517130
2024-05-28,429.6300,430.8200,426.6000,430.3200,15718024
2024-05-24,427.1900,431.0550,424.4100,430.1600,11855285
2024-05-23,432.9700,433.6000,425.4240,427.0000,17211689
2024-05-22,430.0900,432.4100,427.1300,430.5200,18073698
2024-05-21,426.8250,432.9700,424.8500,429.0400,21453255
2024-05-20,420.2100,426.7700,419.9900,425.3400,16272137
2024-05-17,422.5400,422.9200,418.0250,420.2100,15352239
2024-05-16,421.8000,425.4200,420.3500,420.9900,17530050
2024-05-15,417.9000,423.8100,417.2700,423.0800,22239533
2024-05-14,412.0200,417.4900,411.5500,416.5600,15109306
2024-05-13,418.0100,418.3480,410.8200,413.7200,15440226
2024-05-10,412.9350,415.3800,411.8000,414.7400,13402281
2024-05-09,410.5700,412.7200,409.1000,412.3200,14689727
2024-05-08,408.1700,412.2300,406.7132,410.5400,11792308
2024-05-07,414.6600,414.6700,409.0900,409.3400,20018228
2024-05-06,408.7600,413.9300,406.3701,413.5400,16996639
2024-05-03,402.2800,407.1500,401.8600,406.6600,17446724
2024-05-02,397.6600,399.9300,394.6515,397.8400,17709364
2024-05-01,392.6100,401.7199,390.3100,394.9400,23562481
2024-04-30,401.4900,402.1600,389.1700,389.3300,28781374
2024-04-29,405.2500,406.3200,399.1900,402.2500,19582091
2024-04-26,412.1700,413.0000,405.7601,406.3200,29694654
2024-04-25,394.0300,399.8899,388.0300,399.0400,40586450
2024-04-24,409.5600,412.4700,406.7800,409.0600,15065330
2024-04-23,404.2350,408.2000,403.0600,407.5700,15734501
2024-04-22,400.0800,402.8500,395.7500,400.9600,20286875
2024-04-19,404.0300,405.4800,397.7700,399.1200,30565789
2024-04-18,410.6300,411.8900,403.9500,404.2700,21029917
2024-04-17,417.2500,418.8800,410.3300,411.8400,15855485
2024-04-16,414.5700,418.4000,413.7301,414.5800,16765616
2024-04-15,426.6000,426.8200,413.4300,413.6400,20273538
2024-04-12,424.0500,425.1794,419.7700,421.9000,19253750
2024-04-11,425.8200,429.3700,422.3600,427.9300,17966423
2024-04-10,422.1900,424.0300,419.7000,423.2600,16216581
2024-04-09,426.4400,427.7400,421.6200,426.2800,12468710
2024-04-08,425.1700,427.2800,423.3000,424.5900,14248192
2024-04-05,420.0100,426.5100,418.3200,425.5200,16526878
2024-04-04,424.9900,428.6700,417.5700,417.8800,19290884
2024-04-03,419.7300,423.2600,419.0850,420.4500,16462007
2024-04-02,420.1100,422.3800,417.8400,421.4400,17861855
2024-04-01,423.9500,427.8900,422.2200,424.5700,15602611
2024-03-28,420.9600,421.8700,419.1200,420.7200,21871161
2024-03-27,424.4400,424.4500,419.0100,421.4300,16704978
2024-03-26,425.6100,425.9900,421.3500,421.6500,16725647
2024-03-25,425.2400,427.4100,421.6100,422.8600,18060450
2024-03-22,429.7000,429.8600,426.0700,428.7400,17648473
2024-03-21,429.8300,430.8200,427.1600,429.3700,21296222
2024-03-20,422.0000,425.9600,420.6600,425.2300,17860085
2024-03-19,417.8300,421.6656,415.5500,421.4100,19837915
2024-03-18,414.2500,420.7300,413.7800,417.3200,20105977
2024-03-15,419.2900,422.6000,412.7900,416.4200,45079903
2024-03-14,420.2400,427.8200,417.9900,425.2200,33955263
2024-03-13,418.1000,418.1800,411.4500,415.1000,16990048
2024-03-12,407.6200,415.5700,406.7900,415.2800,21563656
2024-03-11,403.7600,405.6800,401.2600,404.5200,15998511
2024-03-08,407.9600,410.4200,404.3300,406.2200,18002186
2024-03-07,406.1200,409.7800,402.2400,409.1400,18718479
2024-03-06,402.9700,405.1600,398.3900,402.0900,22344149
2024-03-05,413.9600,414.2500,400.6400,402.6500,26919177
2024-03-04,413.4400,417.3500,412.3200,414.9200,17595956
2024-03-01,411.2700,415.8700,410.8800,415.5000,17823445
2024-02-29,408.6400,414.2000,405.9200,413.6400,31947263
2024-02-28,408.1750,409.3000,405.3201,407.7200,13183125
2024-02-27,407.9900,408.3200,403.8500,407.4800,14835827
2024-02-26,411.4550,412.1600,407.3600,407.5400,16193505
2024-02-23,415.6700,415.8600,408.9700,410.3400,16295879
2024-02-22,410.1900,412.8300,408.5700,411.6500,27009869
2024-02-21,400.1700,402.2900,397.2200,402.1800,18631072
2024-02-20,403.2400,404.4900,398.0100,402.7900,24307915
